,hhno,id,pagey,pdiary,pgend,pno,ppaidprk,pproxy,pptyp,psaudist,psautime,psexpfac,pspcl,pstaz,pstyp,ptpass,puwarrp,puwdepp,puwmode,pwaudist,pwautime,pwpcl,pwtaz,pwtyp,year
11616,14100311,2505.0,60,-1,Female,1,1,No Proxy,Full-Time Worker,-1.0,-1.0,654.7264,0,-1,Not a Student,0,,,,-1.0,-1.0,0,-1,Paid Full-Time Worker,2014
11617,14100311,2506.0,50,-1,Male,2,0,Proxy,Full-Time Worker,-1.0,-1.0,654.7264,0,-1,Not a Student,0,,,,9.975,26.0,885287,0,Paid Full-Time Worker,2014
11618,14100310,2504.0,50,-1,Female,1,-1,No Proxy,Full-Time Worker,-1.0,-1.0,689.82,0,-1,Not a Student,0,,,,12.27,33.0,863264,959,Paid Full-Time Worker,2014
11619,14100309,2500.0,50,-1,Male,1,-1,No Proxy,Full-Time Worker,-1.0,-1.0,785.4024,0,-1,Not a Student,5,,,,22.61,56.0,718302,464,Paid Full-Time Worker,2014
11620,14100309,2501.0,50,-1,Female,2,-1,No Proxy,Full-Time Worker,-1.0,-1.0,785.4024,0,-1,Not a Student,0,,,,7.77,23.0,1135368,1349,Paid Full-Time Worker,2014
11621,14100309,2502.0,21,-1,Male,3,1,Proxy,Non-Working Adult Age <65,1.61385189394,6.61990667428,785.4024,832638,1247,Part-Time Student,0,,,,-1.0,-1.0,0,-1,Not a Paid Worker,2014
11622,14100309,2503.0,14,-1,Male,4,1,Proxy,Child Age 5-15,1.61385189394,6.61990667428,785.4024,832638,1247,Full-Time Student,-1,,,,-1.0,-1.0,0,-1,Not a Paid Worker,2014
11623,14100308,2498.0,60,-1,Female,1,-1,No Proxy,Full-Time Worker,-1.0,-1.0,653.1448,0,-1,Not a Student,0,,,,11.615,30.0,943566,873,Paid Full-Time Worker,2014
11624,14100308,2499.0,21,-1,Male,2,-1,Mailed Diary,Part-Time Worker,22.275,50.25,653.1448,751794,304,Part-Time Student,0,,,,16.28,38.0,883808,726,Paid Part-Time Worker,2014
11625,14100307,2496.0,60,-1,Male,1,1,No Proxy,Non-Working Adult Age <65,-1.0,-1.0,106.5626,0,-1,Not a Student,0,,,,-1.0,-1.0,0,-1,Not a Paid Worker,2014
11626,14100307,2497.0,60,-1,Female,2,-1,No Proxy,Full-Time Worker,-1.0,-1.0,106.5626,0,-1,Not a Student,0,,,,20.53,49.0,866833,430,Paid Full-Time Worker,2014
11627,14100306,2494.0,70,-1,Male,1,-1,No Proxy,Full-Time Worker,-1.0,-1.0,82.5037,0,-1,Not a Student,0,,,,2.79409393939,10.0,822757,944,Paid Full-Time Worker,2014
11628,14100306,2495.0,60,-1,Female,2,0,No Proxy,Full-Time Worker,-1.0,-1.0,82.5037,0,-1,Not a Student,0,,,,2.79057878788,10.0,822977,944,Paid Full-Time Worker,2014
11629,14100305,2493.0,90,-1,Female,1,1,No Proxy,Non-Working Adult Age 65+,-1.0,-1.0,613.3453,0,-1,Not a Student,0,,,,-1.0,-1.0,0,-1,Not a Paid Worker,2014
11630,14100304,2491.0,50,-1,Female,1,0,No Proxy,Full-Time Worker,-1.0,-1.0,260.5367,0,-1,Not a Student,5,,,,7.645,24.0,1052360,611,Paid Full-Time Worker,2014
11631,14100304,2492.0,50,-1,Male,2,-1,Proxy,Full-Time Worker,-1.0,-1.0,260.5367,0,-1,Not a Student,5,,,,4.565,16.0,1089785,726,Paid Full-Time Worker,2014
11632,14100303,2489.0,30,-1,Male,1,-1,No Proxy,Full-Time Worker,-1.0,-1.0,99.3424,0,-1,Not a Student,0,,,,11.325,29.0,1208217,609,Paid Full-Time Worker,2014
11633,14100303,2490.0,30,-1,Female,2,-1,Proxy,Full-Time Worker,-1.0,-1.0,99.3424,0,-1,Not a Student,0,,,,11.555,29.0,778355,711,Paid Full-Time Worker,2014
11634,14100302,2487.0,80,-1,Male,1,1,No Proxy,Full-Time Worker,-1.0,-1.0,204.7298,0,-1,Not a Student,0,,,,-1.0,-1.0,0,-1,Paid Full-Time Worker,2014
11635,14100302,2488.0,70,-1,Female,2,1,Proxy,Non-Working Adult Age 65+,-1.0,-1.0,204.7298,0,-1,Not a Student,0,,,,-1.0,-1.0,0,-1,Not a Paid Worker,2014
11636,14100301,2485.0,70,-1,Male,1,1,Proxy,Full-Time Worker,-1.0,-1.0,277.0709,0,-1,Not a Student,0,,,,-1.0,-1.0,0,-1,Paid Full-Time Worker,2014
11637,14100301,2486.0,70,-1,Female,2,1,No Proxy,Non-Working Adult Age 65+,-1.0,-1.0,277.0709,0,-1,Not a Student,0,,,,-1.0,-1.0,0,-1,Not a Paid Worker,2014
11638,14100300,2483.0,50,-1,Female,1,-1,No Proxy,Full-Time Worker,-1.0,-1.0,294.1416,0,-1,Not a Student,4,,,,40.215,66.0,522428,3190,Paid Full-Time Worker,2014
11639,14100300,2484.0,50,-1,Male,2,-1,Mailed Diary,Full-Time Worker,-1.0,-1.0,294.1416,0,-1,Not a Student,0,,,,16.06,36.0,716829,496,Paid Full-Time Worker,2014
11640,14100299,2482.0,50,-1,Female,1,0,No Proxy,Part-Time Worker,-1.0,-1.0,552.0743,0,-1,Not a Student,0,,,,0.115340909091,0.0,1047095,1685,Paid Part-Time Worker,2014
11641,14100298,2480.0,70,-1,Female,1,0,No Proxy,Part-Time Worker,-1.0,-1.0,620.5776,0,-1,Not a Student,0,,,,4.37,15.0,789490,1548,Paid Part-Time Worker,2014
11642,14100298,2481.0,60,-1,Male,2,1,Mailed Diary,Non-Working Adult Age <65,-1.0,-1.0,620.5776,0,-1,Not a Student,0,,,,-1.0,-1.0,0,-1,Not a Paid Worker,2014
11643,14100297,2477.0,70,-1,Male,1,1,No Proxy,Non-Working Adult Age 65+,-1.0,-1.0,204.8846,0,-1,Not a Student,0,,,,-1.0,-1.0,0,-1,Not a Paid Worker,2014
11644,14100297,2478.0,70,-1,Female,2,1,Proxy,Non-Working Adult Age 65+,-1.0,-1.0,204.8846,0,-1,Not a Student,0,,,,-1.0,-1.0,0,-1,Not a Paid Worker,2014
11645,14100297,2479.0,90,-1,Female,3,1,Mailed Diary,Non-Working Adult Age 65+,-1.0,-1.0,204.8846,0,-1,Not a Student,0,,,,-1.0,-1.0,0,-1,Not a Paid Worker,2014
11646,14100296,2475.0,30,-1,Male,1,0,Proxy,Full-Time Worker,-1.0,-1.0,503.0059,0,-1,Not a Student,0,,,,16.355,46.0,829200,572,Paid Full-Time Worker,2014
11647,14100296,2476.0,30,-1,Female,2,0,No Proxy,Full-Time Worker,-1.0,-1.0,503.0059,0,-1,Part-Time Student,0,,,,9.565,30.0,1125905,1932,Paid Full-Time Worker,2014
11648,14100295,2473.0,30,-1,Female,1,0,No Proxy,Full-Time Worker,-1.0,-1.0,248.2759,0,-1,Not a Student,3,,,,21.85,50.0,716694,487,Paid Full-Time Worker,2014
11649,14100295,2474.0,40,-1,Male,2,-1,No Proxy,Part-Time Worker,-1.0,-1.0,248.2759,0,-1,Not a Student,0,,,,19.95,32.0,109494,2279,Paid Part-Time Worker,2014
11650,14100294,2471.0,70,-1,Female,1,1,No Proxy,Non-Working Adult Age 65+,-1.0,-1.0,469.4584,0,-1,Not a Student,0,,,,-1.0,-1.0,0,-1,Not a Paid Worker,2014
11651,14100294,2472.0,70,-1,Male,2,1,Mailed Diary,Non-Working Adult Age 65+,-1.0,-1.0,469.4584,0,-1,Not a Student,0,,,,-1.0,-1.0,0,-1,Not a Paid Worker,2014
11652,14100293,2469.0,70,-1,Female,1,1,No Proxy,Part-Time Worker,-1.0,-1.0,275.3501,0,-1,Not a Student,0,,,,-1.0,-1.0,0,-1,Paid Part-Time Worker,2014
11653,14100293,2470.0,70,-1,Male,2,1,Proxy,Non-Working Adult Age 65+,-1.0,-1.0,275.3501,0,-1,Not a Student,0,,,,-1.0,-1.0,0,-1,Not a Paid Worker,2014
11654,14100292,2467.0,30,-1,Female,1,0,No Proxy,Full-Time Worker,-1.0,-1.0,203.4366,0,-1,Not a Student,4,,,,7.9,28.0,797163,303,Paid Full-Time Worker,2014
11655,14100292,2468.0,30,-1,Male,2,-1,No Proxy,University Student,-1.0,-1.0,203.4366,0,-1,Full-Time Student,5,,,,5.515,13.0,233813,2624,Paid Full-Time Worker,2014
11656,14100291,2466.0,60,-1,Female,1,1,No Proxy,Non-Working Adult Age <65,-1.0,-1.0,321.6969,0,-1,Not a Student,0,,,,-1.0,-1.0,0,-1,Not a Paid Worker,2014
11657,14100290,2465.0,70,-1,Female,1,1,No Proxy,Non-Working Adult Age 65+,-1.0,-1.0,723.6607,0,-1,Not a Student,0,,,,-1.0,-1.0,0,-1,Not a Paid Worker,2014
11658,14100289,2462.0,60,-1,Male,1,-1,No Proxy,Full-Time Worker,-1.0,-1.0,169.2247,0,-1,Not a Student,0,,,,13.72,29.0,1180995,1017,Paid Full-Time Worker,2014
11659,14100289,2463.0,70,-1,Female,2,1,Mailed Diary,Non-Working Adult Age 65+,-1.0,-1.0,169.2247,0,-1,Not a Student,0,,,,-1.0,-1.0,0,-1,Not a Paid Worker,2014
11660,14100289,2464.0,30,-1,Male,3,-1,Mailed Diary,Full-Time Worker,-1.0,-1.0,169.2247,0,-1,Not a Student,0,,,,9.91,33.0,1115790,427,Paid Full-Time Worker,2014
11661,14100288,2460.0,60,-1,Female,1,1,No Proxy,University Student,14.4,36.835,300.4597,932775,72,Full-Time Student,2,,,,-1.0,-1.0,0,-1,Not a Paid Worker,2014
11662,14100288,2461.0,21,-1,Female,2,0,Mailed Diary,Full-Time Worker,-1.0,-1.0,300.4597,0,-1,Not a Student,0,,,,13.285,38.0,1155031,247,Paid Full-Time Worker,2014
11663,14100287,2459.0,70,-1,Female,1,1,No Proxy,Non-Working Adult Age 65+,-1.0,-1.0,244.1301,0,-1,Not a Student,0,,,,-1.0,-1.0,0,-1,Not a Paid Worker,2014
11664,14100286,2457.0,30,-1,Male,1,0,No Proxy,Full-Time Worker,-1.0,-1.0,196.5587,0,-1,Not a Student,5,,,,5.245,21.0,1052317,610,Paid Full-Time Worker,2014
11665,14100286,2458.0,30,-1,Female,2,0,No Proxy,Full-Time Worker,-1.0,-1.0,196.5587,0,-1,Not a Student,5,,,,6.63,26.0,853569,488,Paid Full-Time Worker,2014
11666,14100285,2455.0,60,-1,Female,1,0,No Proxy,Full-Time Worker,-1.0,-1.0,22.3846,0,-1,Not a Student,3,,,,5.99,22.0,828971,515,Paid Full-Time Worker,2014
11667,14100285,2456.0,70,-1,Male,2,1,No Proxy,Non-Working Adult Age 65+,-1.0,-1.0,22.3846,0,-1,Not a Student,0,,,,-1.0,-1.0,0,-1,Not a Paid Worker,2014
11668,14100284,2452.0,70,-1,Female,1,0,No Proxy,Full-Time Worker,-1.0,-1.0,203.0015,0,-1,Not a Student,5,,,,3.225,16.0,859312,476,Paid Full-Time Worker,2014
11669,14100284,2453.0,70,-1,Male,2,1,Proxy,Non-Working Adult Age 65+,-1.0,-1.0,203.0015,0,-1,Not a Student,0,,,,-1.0,-1.0,0,-1,Not a Paid Worker,2014
11670,14100284,2454.0,30,-1,Male,3,-1,Proxy,Part-Time Worker,-1.0,-1.0,203.0015,0,-1,Not a Student,0,,,,7.915,27.0,1275587,714,Paid Part-Time Worker,2014
11671,14100283,2450.0,60,-1,Female,1,1,No Proxy,Non-Working Adult Age <65,-1.0,-1.0,249.8398,0,-1,Not a Student,0,,,,-1.0,-1.0,0,-1,Not a Paid Worker,2014
11672,14100283,2451.0,60,-1,Male,2,1,Proxy,Full-Time Worker,-1.0,-1.0,249.8398,0,-1,Not a Student,3,,,,5.575,24.0,735377,544,Paid Full-Time Worker,2014
11673,14100282,2446.0,40,-1,Female,1,0,No Proxy,Full-Time Worker,-1.0,-1.0,192.79,0,-1,Not a Student,0,,,,6.775,25.0,735351,530,Paid Full-Time Worker,2014
11674,14100282,2447.0,40,-1,Male,2,0,Proxy,Full-Time Worker,-1.0,-1.0,192.79,0,-1,Not a Student,0,,,,6.2,22.0,716687,487,Paid Full-Time Worker,2014
11675,14100282,2448.0,14,-1,Female,3,1,Proxy,Child Age 5-15,0.768978661616,4.74016408566,192.79,1057052,297,Full-Time Student,-1,,,,-1.0,-1.0,0,-1,Not a Paid Worker,2014
11676,14100282,2449.0,8,-1,Female,4,1,Proxy,Child Age 5-15,0.846381818182,6.38816753247,192.79,929644,202,Full-Time Student,-1,,,,-1.0,-1.0,0,-1,Not a Paid Worker,2014
11677,14100281,2444.0,60,-1,Male,1,1,No Proxy,Non-Working Adult Age <65,-1.0,-1.0,210.7876,0,-1,Not a Student,0,,,,-1.0,-1.0,0,-1,Not a Paid Worker,2014
11678,14100281,2445.0,70,-1,Female,2,1,Proxy,Non-Working Adult Age 65+,-1.0,-1.0,210.7876,0,-1,Not a Student,0,,,,-1.0,-1.0,0,-1,Not a Paid Worker,2014
11679,14100280,2443.0,90,-1,Male,1,1,No Proxy,Non-Working Adult Age 65+,-1.0,-1.0,166.8007,0,-1,Not a Student,0,,,,-1.0,-1.0,0,-1,Not a Paid Worker,2014
11680,14100279,2442.0,50,-1,Male,1,1,No Proxy,Non-Working Adult Age <65,38.92,84.13,304.9758,716571,450,Part-Time Student,0,,,,-1.0,-1.0,0,-1,Not a Paid Worker,2014
11681,14100278,2440.0,50,-1,Female,1,-1,No Proxy,Full-Time Worker,-1.0,-1.0,71.9546,0,-1,Not a Student,0,,,,0.0568181818182,0.0,373550,3468,Paid Full-Time Worker,2014
11682,14100278,2441.0,80,-1,Female,2,1,Proxy,Part-Time Worker,-1.0,-1.0,71.9546,0,-1,Not a Student,0,,,,-1.0,-1.0,0,-1,Paid Part-Time Worker,2014
11683,14100277,2438.0,60,-1,Male,1,-1,No Proxy,Part-Time Worker,-1.0,-1.0,79.1452,0,-1,Not a Student,5,,,,83.635,138.0,902588,983,Paid Part-Time Worker,2014
11684,14100277,2439.0,60,-1,Female,2,-1,No Proxy,Full-Time Worker,-1.0,-1.0,79.1452,0,-1,Not a Student,0,,,,16.55,28.0,276254,3502,Paid Full-Time Worker,2014
11685,14100276,2437.0,40,-1,Female,1,-1,No Proxy,Full-Time Worker,-1.0,-1.0,114.5724,0,-1,Not a Student,0,,,,1.81691477273,8.0,1050568,1649,Paid Full-Time Worker,2014
11686,14100275,2435.0,50,-1,Male,1,-1,No Proxy,Full-Time Worker,-1.0,-1.0,205.3186,0,-1,Not a Student,0,,,,14.67,56.0,732875,878,Paid Full-Time Worker,2014
11687,14100275,2436.0,50,-1,Female,2,0,Mailed Diary,Full-Time Worker,-1.0,-1.0,205.3186,0,-1,Not a Student,0,,,,9.72,47.0,908993,865,Paid Full-Time Worker,2014
11688,14100274,2430.0,50,-1,Male,1,1,No Proxy,Full-Time Worker,-1.0,-1.0,1372.9842,0,-1,Not a Student,0,,,,2.05932405303,8.0,720886,1413,Paid Full-Time Worker,2014
11689,14100274,2431.0,50,-1,Female,2,1,Proxy,Non-Working Adult Age <65,-1.0,-1.0,1372.9842,0,-1,Not a Student,0,,,,-1.0,-1.0,0,-1,Not a Paid Worker,2014
11690,14100274,2432.0,17,-1,Male,3,1,Mailed Diary,High School Student Age 16+,7.86,17.005,1372.9842,701214,1292,Full-Time Student,-1,,,,-1.0,-1.0,0,-1,Not a Paid Worker,2014
11691,14100274,2433.0,14,-1,Male,4,1,Mailed Diary,Child Age 5-15,7.86,17.005,1372.9842,701214,1292,Full-Time Student,-1,,,,-1.0,-1.0,0,-1,Not a Paid Worker,2014
11692,14100274,2434.0,8,-1,Female,5,1,Mailed Diary,Child Age 5-15,0.893334911616,7.1730708649,1372.9842,1172171,1352,Full-Time Student,-1,,,,-1.0,-1.0,0,-1,Not a Paid Worker,2014
11693,14100273,2428.0,60,-1,Female,1,1,No Proxy,Non-Working Adult Age <65,-1.0,-1.0,425.1024,0,-1,Not a Student,0,,,,-1.0,-1.0,0,-1,Not a Paid Worker,2014
11694,14100273,2429.0,21,-1,Male,2,1,Mailed Diary,Non-Working Adult Age <65,9.13,23.95,425.1024,902901,1441,Part-Time Student,0,,,,-1.0,-1.0,0,-1,Not a Paid Worker,2014
11695,14100272,2426.0,60,-1,Male,1,1,No Proxy,Non-Working Adult Age <65,-1.0,-1.0,96.1472,0,-1,Not a Student,0,,,,-1.0,-1.0,0,-1,Not a Paid Worker,2014
11696,14100272,2427.0,50,-1,Female,2,-1,Proxy,Full-Time Worker,-1.0,-1.0,96.1472,0,-1,Not a Student,0,,,,10.305,29.0,238472,2629,Paid Full-Time Worker,2014
11697,14100271,2424.0,50,-1,Male,1,-1,No Proxy,Part-Time Worker,-1.0,-1.0,156.5609,0,-1,Not a Student,0,,,,6.575,24.0,828970,515,Paid Part-Time Worker,2014
11698,14100271,2425.0,8,-1,Male,2,1,Mailed Diary,Child Age 5-15,10.72,46.255,156.5609,707281,2084,Full-Time Student,-1,,,,-1.0,-1.0,0,-1,Not a Paid Worker,2014
11699,14100270,2422.0,30,-1,Female,1,0,No Proxy,Full-Time Worker,-1.0,-1.0,64.1736,0,-1,Part-Time Student,3,,,,7.995,28.0,830044,443,Paid Full-Time Worker,2014
11700,14100270,2423.0,40,-1,Male,2,0,No Proxy,University Student,-1.0,-1.0,64.1736,0,-1,Full-Time Student,0,,,,14.37,33.0,1081487,1468,Paid Full-Time Worker,2014
11701,14100269,2420.0,50,-1,Male,1,-1,Proxy,Full-Time Worker,-1.0,-1.0,240.9528,0,-1,Not a Student,5,,,,32.82,67.0,126605,2403,Paid Full-Time Worker,2014
11702,14100269,2421.0,50,-1,Male,2,1,No Proxy,Full-Time Worker,-1.0,-1.0,240.9528,0,-1,Not a Student,5,,,,7.325,27.0,1115741,431,Paid Full-Time Worker,2014
11703,14100268,2417.0,50,-1,Female,1,-1,No Proxy,Part-Time Worker,-1.0,-1.0,55.9335,0,-1,Not a Student,0,,,,0.0568181818182,0.0,800440,720,Paid Part-Time Worker,2014
11704,14100268,2418.0,50,-1,Male,2,0,Mailed Diary,Full-Time Worker,-1.0,-1.0,55.9335,0,-1,Not a Student,0,,,,9.145,22.0,1226019,974,Paid Full-Time Worker,2014
11705,14100268,2419.0,8,-1,Female,3,1,Mailed Diary,Child Age 5-15,7.735,22.895,55.9335,1254386,1489,Full-Time Student,-1,,,,-1.0,-1.0,0,-1,Not a Paid Worker,2014
11706,14100267,2415.0,50,-1,Male,1,-1,No Proxy,Full-Time Worker,-1.0,-1.0,334.6221,0,-1,Not a Student,0,,,,6.0,23.0,829095,483,Paid Full-Time Worker,2014
11707,14100267,2416.0,50,-1,Female,2,1,No Proxy,Part-Time Worker,-1.0,-1.0,334.6221,0,-1,Not a Student,0,,,,-1.0,-1.0,0,-1,Paid Part-Time Worker,2014
11708,14100266,2413.0,40,-1,Female,1,1,No Proxy,Full-Time Worker,-1.0,-1.0,34.5268,0,-1,Not a Student,5,,,,13.365,33.0,890934,1584,Paid Full-Time Worker,2014
11709,14100266,2414.0,40,-1,Male,2,0,Proxy,Full-Time Worker,-1.0,-1.0,34.5268,0,-1,Not a Student,5,,,,2.12889722222,11.0,1161407,657,Paid Full-Time Worker,2014
11710,14100265,2412.0,40,-1,Male,1,1,No Proxy,Full-Time Worker,-1.0,-1.0,49.4452,0,-1,Not a Student,4,,,,11.475,29.0,789490,1548,Paid Full-Time Worker,2014
11711,14100264,2411.0,60,-1,Female,1,-1,No Proxy,Full-Time Worker,-1.0,-1.0,61.4777,0,-1,Not a Student,0,,,,13.15,29.0,1226722,974,Paid Full-Time Worker,2014
11712,14100262,2410.0,60,-1,Female,1,1,No Proxy,Non-Working Adult Age <65,-1.0,-1.0,90.3517,0,-1,Not a Student,0,,,,-1.0,-1.0,0,-1,Not a Paid Worker,2014
11713,14100261,2408.0,21,-1,Male,1,0,No Proxy,Full-Time Worker,-1.0,-1.0,70.5976,0,-1,Not a Student,3,,,,15.72,39.0,1067466,1615,Paid Full-Time Worker,2014
11714,14100261,2409.0,21,-1,Female,2,0,No Proxy,Full-Time Worker,-1.0,-1.0,70.5976,0,-1,Not a Student,5,,,,14.485,35.0,834241,1606,Paid Full-Time Worker,2014
11715,14100260,2407.0,40,-1,Male,1,-1,No Proxy,Full-Time Worker,-1.0,-1.0,54.7623,0,-1,Not a Student,0,,,,3.075,14.0,828376,324,Paid Full-Time Worker,2014
11716,14100259,2405.0,40,-1,Female,1,1,No Proxy,Full-Time Worker,-1.0,-1.0,57.2391,0,-1,Not a Student,5,,,,-1.0,-1.0,0,-1,Paid Full-Time Worker,2014
11717,14100259,2406.0,17,-1,Female,2,1,Proxy,High School Student Age 16+,-1.0,-1.0,57.2391,0,-1,Full-Time Student,-1,,,,-1.0,-1.0,0,-1,Not a Paid Worker,2014
11718,14100258,2404.0,40,-1,Female,1,-1,No Proxy,Full-Time Worker,-1.0,-1.0,60.688,0,-1,Not a Student,3,,,,18.33,35.0,195895,2487,Paid Full-Time Worker,2014
11719,14100257,2402.0,70,-1,Male,1,1,No Proxy,Non-Working Adult Age 65+,-1.0,-1.0,53.4587,0,-1,Not a Student,0,,,,-1.0,-1.0,0,-1,Not a Paid Worker,2014
11720,14100257,2403.0,70,-1,Female,2,1,Proxy,Non-Working Adult Age 65+,-1.0,-1.0,53.4587,0,-1,Not a Student,0,,,,-1.0,-1.0,0,-1,Not a Paid Worker,2014
11721,14100256,2399.0,40,-1,Female,1,-1,No Proxy,Full-Time Worker,-1.0,-1.0,47.3389,0,-1,Not a Student,0,,,,3.125,15.0,1161086,335,Paid Full-Time Worker,2014
11722,14100256,2400.0,50,-1,Male,2,0,Proxy,Part-Time Worker,-1.0,-1.0,47.3389,0,-1,Not a Student,5,,,,1.7245969697,15.0,828886,521,Paid Part-Time Worker,2014
11723,14100256,2401.0,21,-1,Male,3,0,Mailed Diary,Full-Time Worker,-1.0,-1.0,47.3389,0,-1,Not a Student,0,,,,1.7245969697,15.0,828886,2874,Paid Full-Time Worker,2014
11724,14100255,2398.0,40,-1,Male,1,-1,No Proxy,Full-Time Worker,-1.0,-1.0,28.1225,0,-1,Not a Student,0,,,,6.575,24.0,852425,584,Paid Full-Time Worker,2014
11725,14100254,2396.0,30,-1,Female,1,1,No Proxy,Non-Working Adult Age <65,-1.0,-1.0,80.151,0,-1,Not a Student,0,,,,-1.0,-1.0,0,-1,Not a Paid Worker,2014
11726,14100254,2397.0,30,-1,Female,2,-1,Mailed Diary,Part-Time Worker,-1.0,-1.0,80.151,0,-1,Not a Student,0,,,,7.45,26.0,762189,622,Paid Part-Time Worker,2014
11727,14100253,2394.0,30,-1,Female,1,-1,No Proxy,Full-Time Worker,-1.0,-1.0,62.437,0,-1,Not a Student,6,,,,2.74444728535,18.0,797163,303,Paid Full-Time Worker,2014
11728,14100253,2395.0,30,-1,Male,2,-1,Proxy,Full-Time Worker,-1.0,-1.0,62.437,0,-1,Not a Student,0,,,,5.695,17.0,1208217,609,Paid Full-Time Worker,2014
11729,14100252,2392.0,60,-1,Female,1,1,No Proxy,Non-Working Adult Age <65,-1.0,-1.0,60.3118,0,-1,Not a Student,0,,,,-1.0,-1.0,0,-1,Not a Paid Worker,2014
11730,14100252,2393.0,60,-1,Male,2,1,No Proxy,Non-Working Adult Age <65,-1.0,-1.0,60.3118,0,-1,Not a Student,0,,,,-1.0,-1.0,0,-1,Not a Paid Worker,2014
11731,14100251,2388.0,40,-1,Female,1,1,No Proxy,Non-Working Adult Age <65,-1.0,-1.0,41.5433,0,-1,Not a Student,0,,,,-1.0,-1.0,0,-1,Not a Paid Worker,2014
11732,14100251,2389.0,40,-1,Male,2,1,Proxy,Full-Time Worker,-1.0,-1.0,41.5433,0,-1,Not a Student,3,,,,6.24,20.0,829635,432,Paid Full-Time Worker,2014
11733,14100251,2390.0,8,-1,Male,3,1,Proxy,Child Age 5-15,0.292711994949,4.88168068996,41.5433,910740,135,Full-Time Student,-1,,,,-1.0,-1.0,0,-1,Not a Paid Worker,2014
11734,14100251,2391.0,8,-1,Female,4,1,Proxy,Child Age 5-15,3.81,12.755,41.5433,1100605,6,Full-Time Student,-1,,,,-1.0,-1.0,0,-1,Not a Paid Worker,2014
11735,14100250,2386.0,30,-1,Male,1,0,Proxy,University Student,5.54,23.83,64.7202,797163,302,Full-Time Student,4,,,,5.54,23.0,797163,302,Paid Full-Time Worker,2014
11736,14100250,2387.0,30,-1,Female,2,0,No Proxy,University Student,1.58916969697,9.4738962704,64.7202,932775,72,Full-Time Student,5,,,,1.16465909091,7.0,1157208,141,Paid Part-Time Worker,2014
11737,14100249,2385.0,70,-1,Female,1,1,No Proxy,Non-Working Adult Age 65+,-1.0,-1.0,130.3226,0,-1,Not a Student,0,,,,-1.0,-1.0,0,-1,Not a Paid Worker,2014
11738,14100248,2383.0,30,-1,Female,1,1,No Proxy,Part-Time Worker,1.75855416667,8.87504237329,205.5457,740439,1512,Part-Time Student,2,,,,5.01,17.0,886309,1579,Paid Part-Time Worker,2014
11739,14100248,2384.0,30,-1,Male,2,-1,Mailed Diary,Full-Time Worker,-1.0,-1.0,205.5457,0,-1,Not a Student,0,,,,33.875,58.0,495736,2865,Paid Full-Time Worker,2014
11740,14100247,2382.0,60,-1,Male,1,1,No Proxy,Full-Time Worker,-1.0,-1.0,220.6939,0,-1,Not a Student,4,,,,17.435,39.0,772240,406,Paid Full-Time Worker,2014
11741,14100246,2381.0,70,-1,Male,1,1,No Proxy,Non-Working Adult Age 65+,-1.0,-1.0,229.8388,0,-1,Not a Student,0,,,,-1.0,-1.0,0,-1,Not a Paid Worker,2014
11742,14100245,2377.0,50,-1,Female,1,-1,No Proxy,Full-Time Worker,-1.0,-1.0,225.0519,0,-1,Not a Student,0,,,,23.38,59.0,885300,974,Paid Full-Time Worker,2014
11743,14100245,2378.0,30,-1,Female,2,1,Proxy,Non-Working Adult Age <65,-1.0,-1.0,225.0519,0,-1,Not a Student,0,,,,-1.0,-1.0,0,-1,Not a Paid Worker,2014
11744,14100245,2379.0,30,-1,Male,3,0,Proxy,Full-Time Worker,-1.0,-1.0,225.0519,0,-1,Not a Student,0,,,,28.595,53.0,382424,2734,Paid Full-Time Worker,2014
11745,14100245,2380.0,2,-1,Female,4,1,,Child Age 0-4,4.16,13.415,225.0519,593057,-1,Full-Time Student,0,,,,-1.0,-1.0,0,-1,Not a Paid Worker,2014
11746,14100244,2374.0,30,-1,Female,1,-1,No Proxy,Full-Time Worker,-1.0,-1.0,177.054,0,-1,Not a Student,5,,,,2.1689729798,7.0,290691,3528,Paid Full-Time Worker,2014
11747,14100244,2375.0,30,-1,Male,2,0,Mailed Diary,Full-Time Worker,-1.0,-1.0,177.054,0,-1,Not a Student,0,,,,12.705,23.0,369920,3626,Paid Full-Time Worker,2014
11748,14100244,2376.0,30,-1,Male,3,0,Proxy,Full-Time Worker,-1.0,-1.0,177.054,0,-1,Not a Student,0,,,,12.705,23.0,369920,3626,Paid Full-Time Worker,2014
11749,14100243,2372.0,70,-1,Male,1,1,No Proxy,Non-Working Adult Age 65+,-1.0,-1.0,77.8829,0,-1,Not a Student,0,,,,-1.0,-1.0,0,-1,Not a Paid Worker,2014
11750,14100243,2373.0,70,-1,Female,2,1,No Proxy,Non-Working Adult Age 65+,-1.0,-1.0,77.8829,0,-1,Not a Student,0,,,,-1.0,-1.0,0,-1,Not a Paid Worker,2014
11751,14100242,2370.0,21,-1,Male,1,1,No Proxy,Non-Working Adult Age <65,-1.0,-1.0,202.2099,0,-1,Not a Student,0,,,,-1.0,-1.0,0,-1,Not a Paid Worker,2014
11752,14100242,2371.0,30,-1,Female,2,1,Proxy,Non-Working Adult Age <65,-1.0,-1.0,202.2099,0,-1,Part-Time Student,0,,,,-1.0,-1.0,0,-1,Not a Paid Worker,2014
